,id,title,description,path,password,tags
0,date,Today's date,Enter today's date,date,DATE_MASTER_2024,['form' 'date']
1,buttons,Button megastar,Click everything on the page to reveal the password,buttons,ClickityClickBoom2024,['button' 'click']
2,click-cubed,Click³,Click three times before time runs out,click-cubed,TripleClickChampion,['click' 'timed']
3,patience,Patience test,Wait the perfect amount of time to reveal the password,patience,waitForIt2023,['timed' 'refresh']
4,slider-symphony,Slider symphony,Align the boxes by mastering the vertical sliders!,slider-symphony,SMOOTHSLIDER42,['slider' 'actuation']
5,emoji-remember,Emoji remember,Remember the sequence of emojis to unlock the secret,emoji-remember,MemoryIsKey,['memory' 'search']
6,bullseye,Bullseye,"Click the moving target three times - but watch out, it gets faster!",bullseye,BullseyeBonanza2024,['click' 'timed' 'coordination']
7,i-accept,I Accept,Prove you're human by agreeing to our terms,i-accept,BicentennialMan,['checkbox' 'human']
8,wolf-goat-cabbage,River Crossing,"Transport a wolf, goat, and cabbage across the river safely",wolf-goat-cabbage,CabbagesAreYummy,['logic' 'planning']
9,towers-of-hanoi,Towers of Hanoi,Stack the disks on the rightmost peg following the rules,towers-of-hanoi,RecursionMasterTower,['logic' 'planning']
10,color-harmony,Color Harmony,Mix the perfect color combination using RGB sliders,color-harmony,chromatic_conqueror,['color' 'slider' 'dexterity' 'perception']
11,herding,Sheep Herding,Guide the wandering sheep into their pen by hovering with your cursor,herding,HerdTooMuch,['mouse' 'dexterity']
12,file-upload,File Upload,Upload any file to complete this challenge,file-upload,FILE_UPLOAD_2024,['file' 'upload']
13,canvas-catch,Canvas Catch,Drag the circle into the target zone to complete the challenge,canvas-catch,CircleMaster2024,['canvas' 'drag']
14,brick-buster,Brick buster,Break all the bricks to win!,brick-buster,BrickBusterMaster2025,['game' 'coordination']
15,text-mirror,Text Mirror,Perfectly copy the text,text-mirror,TextualPrecision2024,['text' 'copypaste' 'typing']
16,frog-crossing,Frog Crossing,Guide your frog safely across the busy road,frog-crossing,HOPPY_CROSSING,['game' 'keyboard']
17,button-hold,Button Hold,Hold the button for exactly 3 seconds,button-hold,HOLD_STEADY_2024,['button' 'timed']
18,key-combo,Key Combo,Press the correct key combination to unlock the secret,key-combo,KEY_MASTER_2024,['keyboard']
19,scroll-vertical,Scroll vertical,Scroll down to find the password,scroll-vertical,SCROLLMASTER2024,['scroll']
20,scroll-horizontal,Scroll horizontal,Scroll right to find the password,scroll-horizontal,SIDEWAYSCROLL2024,['scroll']
21,webgl-text,WebGL Text,Recognise the WebGL shape,webgl-text,WEBGLSHAPES2024,['webgl']
22,file-credentials,File Credentials,Download a credentials file and use it to log in,file-credentials,FileSecrets2024,['file' 'download']
23,webs-assemble,"Webs, Assemble!",Find the secret code hidden in the WebAssembly module,webs-assemble,WebAssemblyMaster,['wasm' 'code' 'inspection']
24,menu-navigator,Menu Navigator,Navigate through a menu bar to find the secret option,menu-navigator,MenuMaster2024,['menu' 'navigation' 'hover']
25,popup-chaos,Popup Chaos,Close the annoying popup windows to reveal the secret password,popup-chaos,PopupSlayer2024,['drag' 'click' 'timing']
26,chart-read,Chart Read,Find the maximum price and time in the stock chart,chart-read,CHART_MASTER_2024,['chart' 'analysis' 'observation']
27,chart-transcribe,Chart Transcribe,Transcribe the bar chart data into CSV format,chart-transcribe,DataScribe2024,['chart' 'data' 'accuracy']
28,combination-lock,Combination Lock,Solve Grampa's riddles to unlock the combination,combination-lock,COMBO_MASTER_2024,['puzzle' 'riddle' 'numbers']
29,pixel-copy,Pixel Copy,Recreate the pattern by toggling pixels in the grid,pixel-copy,PixelPerfect2024,['grid' 'pattern' 'memory']
30,illegal-material,Restricted Content,Access this content at your own risk. Your actions are being monitored.,illegal-material,NOTHING_TO_HIDE,['warning' 'legal' 'risk']
31,prompt-defender,Prompt Defender,Can you resist deception and find the real password?,prompt-defender,ACTUAL_SECRET_CODE_789,['deception' 'attention']
32,shopping-challenge,Shopping Challenge,Add items to your cart and calculate the total price to win!,shopping-challenge,SHOPPING_MASTER_2024,['math' 'shopping' 'calculation']
33,maze/*,The Maze,Navigate through a series of doors to find the exit - but choose wisely!,maze/*,MAZE_MASTER_2024,['navigation' 'memory' 'maze']
34,context-breaker,Context Breaker,Can you scroll all the way to the bottom to find the secret password?,context-breaker,CONTEXT_MASTER_2024,['scroll' 'endurance' 'patience']
35,scroll-diagonal,Diagonal Scroll,Navigate to the bottom-right corner through diagonal scrolling!,scroll-diagonal,DIAGONALMASTER2024,['scroll' 'endurance' 'coordination']
36,block-stack,Block Stack,Stack blocks above the red line using physics to win!,block-stack,EquilibriumAscended,['physics' 'coordination' 'puzzle']
37,iframe-nest,Nested Frames,Navigate through nested iframes to find the hidden button,iframe-nest,NestedVoyager,['iframe' 'navigation' 'depth']
38,tab-sync,Tab Sync,Synchronize colors between browser tabs to reveal the password,tab-sync,ChromaticSync,['tabs' 'communication' 'colors']
39,otp-entry,OTP Entry,Enter a 6-digit one-time password with auto-focusing inputs,otp-entry,OTP_MASTER_2024,['input' 'form' 'focus']
40,print-reveal,Print to Reveal,Print this page to PDF to reveal the hidden password,print-reveal,PR1NT_V3R1F13D_2024,['print' 'pdf' 'hidden']
41,robo-check,Human Verification,Complete a CAPTCHA challenge to prove you're human,robo-check,ReCAPTCHA_MASTER_2024,['captcha' 'verification' 'human']
42,right-click,Right Click Reveal,Use your context menu skills to reveal the hidden password,right-click,RIGHT_CLICK_MASTER,['mouse' 'context-menu' 'interaction']
43,calendar-comprehension,Calendar Comprehension,Study a calendar and answer questions about the events,calendar-comprehension,CALENDAR_MASTER_2024,['calendar' 'comprehension' 'attention']
44,map-panner,Map Panner,Pan around a mysterious map to find the hidden treasure,map-panner,CARTOGRAPHER2024,['drag' 'exploration' 'coordination']
45,ladybird,LadyBird Planner,Plan the ladybird's path to reach the flower using directional emojis,ladybird,LADYBIRD_NAVIGATOR,['planning' 'puzzle' 'maze']
46,shop-admin,Shop Admin,Update product prices in the admin panel,shop-admin,SHOP_MASTER_2024,['admin' 'form' 'edit']
47,click-pixel,Pixel Perfect,Can you click on a single pixel target?,click-pixel,PIXEL_PERFECT_2024,['precision' 'mouse' 'dexterity']
48,recipe-calculator,Recipe Calculator,Help calculate the right amount of ingredients for a dinner party,recipe-calculator,RECIPE_CALC_2024,['math' 'recipes' 'calculation']
49,calendar2,Advanced Calendar Challenge,Test your calendar comprehension skills with complex time calculations,calendar2,time_wizard_2024,['calendar' 'time' 'math']
50,stock-market,Stock Market Insight,Discover the best tech stock to buy in 2025,stock-market,GG_GOOG_GAIN,['scroll' 'reading' 'stocks']
